frame_pair,frame_idx,node,node_x_px,node_y_px,gt_dx,gt_dy,pred_dx,pred_dy,error_px
F1->F2,0,0,409.9315,403.2275,-0.132816,-0.375533,-0.513623,0.082052,0.595313
F1->F2,0,1,418.3476,384.7786,-0.105391,-0.393748,-0.397601,-0.047473,0.453092
F1->F2,0,2,425.5264,365.9869,-0.052923,-0.323861,0.058645,0.07042,0.409762
F1->F2,0,3,430.3619,346.5725,-0.003432,-0.257688,-0.233553,0.042637,0.378353
F1->F2,0,4,432.6155,326.6716,0.045211,-0.208542,-0.028608,0.11835,0.335123
F1->F2,0,5,432.4001,306.5886,0.090497,-0.17292,-0.251946,-0.166835,0.342497
F1->F2,0,6,429.8391,286.6223,0.144326,-0.152892,-0.324317,-0.093956,0.472334
F1->F2,0,7,425.3237,266.8902,0.213768,-0.143164,-0.257347,-0.149335,0.471156
F1->F2,0,8,419.5385,247.3112,0.269835,-0.129436,-0.222337,-0.254661,0.507853
F1->F2,0,9,413.1808,227.7945,0.295828,-0.109721,0.136994,0.178944,0.329478
F1->F2,0,10,406.5966,208.3319,0.288813,-0.082306,-0.105483,-0.205337,0.413045
F1->F2,0,11,399.415,189.0833,0.26043,-0.05867,0.021423,-0.086254,0.240593
F1->F2,0,12,391.1776,170.229,0.224108,-0.029933,0.160046,-0.020128,0.064808
F1->F2,0,13,381.4029,152.1285,0.197387,0.007763,0.029184,-0.000618,0.168411
F1->F2,0,14,369.5294,135.7537,0.162998,0.044672,0.350137,0.120298,0.201842
F1->F2,0,15,354.9836,122.2068,0.117764,0.076802,0.169298,0.092811,0.053963
F1->F2,0,16,337.7215,112.4864,0.062076,0.102715,0.158704,0.089366,0.097546
F1->F2,0,17,318.7047,107.3955,0.006688,0.130699,0.075981,0.268768,0.154482
F1->F2,0,18,299.0324,107.6239,-0.035739,0.137352,0.038057,0.004271,0.152173
F1->F2,0,19,280.0245,113.0694,-0.061612,0.131049,-0.099613,0.248449,0.123397
F1->F2,0,20,263.1088,123.2199,-0.066086,0.121012,-0.095634,0.131563,0.031376
F1->F2,0,21,249.3336,137.3627,-0.042683,0.113232,-0.184613,0.141188,0.144657
F1->F2,0,22,239.1261,154.4626,-0.004059,0.106063,0.155737,0.125296,0.160949
F1->F2,0,23,232.6757,173.4812,0.032323,0.0872,-0.051676,0.077882,0.084514
F1->F2,0,24,228.8919,193.5668,0.082669,0.068253,-0.035051,0.117704,0.127685
F1->F2,0,25,226.1689,213.9652,0.133574,0.048912,-0.041006,-0.00088,0.181542
F1->F2,0,26,223.7282,234.3101,0.179854,0.022252,0.353886,0.117726,0.1985
F1->F2,0,27,221.6138,254.62,0.199198,-0.017226,-0.037372,0.215979,0.33219
F1->F2,0,28,219.9001,274.9295,0.205691,-0.055453,0.148299,0.016324,0.0919
F1->F2,0,29,218.6193,295.2723,0.19619,-0.089151,0.421291,-0.138172,0.230377
F1->F2,0,30,217.8055,315.6657,0.175986,-0.116257,-0.075745,-0.071032,0.255761
F1->F2,0,31,217.6771,336.0092,0.14855,-0.142914,0.18156,-0.102823,0.051932
F1->F2,0,32,218.58,356.1368,0.093542,-0.164819,0.456715,-0.166922,0.363179
F1->F2,0,33,221.4295,375.7161,0.053386,-0.18253,0.469918,-0.091992,0.426258
F1->F2,0,34,227.2689,394.3853,0.000552,-0.186188,0.16871,-0.080598,0.198561
F1->F2,0,35,235.0917,412.4423,-0.0342,-0.159199,2.02456,-0.031375,2.062724
F1->F2,0,36,416.1681,406.1487,-0.142232,-0.378689,-0.758606,-0.062476,0.692753
F1->F2,0,37,424.5625,387.4559,-0.122439,-0.381063,-1.009992,-0.085371,0.935513
F1->F2,0,38,431.8651,368.0277,-0.071392,-0.311228,0.104381,0.111582,0.457891
F1->F2,0,39,436.8139,347.7259,-0.013011,-0.24709,-2.022833,0.841564,2.285728
F1->F2,0,40,439.1335,326.9965,0.054186,-0.190991,-0.268293,-0.076424,0.342226
F1->F2,0,41,439.0263,306.1229,0.098093,-0.156478,-0.082773,-0.118917,0.184725
F1->F2,0,42,436.8172,285.3406,0.14781,-0.134242,-0.133025,-0.155653,0.28165
F1->F2,0,43,432.967,264.8423,0.211711,-0.124578,-0.075401,-0.042087,0.298727
F1->F2,0,44,427.8835,244.6703,0.260268,-0.113371,0.278275,0.144062,0.258061
F1->F2,0,45,421.925,224.9114,0.27768,-0.094835,0.113025,0.186128,0.325655
F1->F2,0,46,415.301,205.2784,0.2669,-0.072145,-0.079094,-0.132848,0.351278
F1->F2,0,47,407.6769,185.7812,0.240559,-0.053448,-0.014664,0.007423,0.262382
F1->F2,0,48,398.7933,166.5799,0.204536,-0.026724,-0.057649,-0.084293,0.26843
