frame_pair,frame_idx,mean_error_px,median_error_px,std_error_px,min_error_px,max_error_px,p95_error_px,nodes_gt_1px,nodes_gt_2px,n_nodes
F1->F2,0,0.359366,0.245076,0.696245,0.023954,8.825807,0.869989,6,3,180
F2->F3,1,0.52642,0.401308,0.446791,0.039796,2.962629,1.426064,22,3,180
F3->F4,2,1.22861,0.554369,2.629117,0.066047,23.347114,3.94465,38,21,180
F4->F5,3,1.611252,0.661213,3.247286,0.012039,24.095902,7.343243,63,25,180
F5->F6,4,1.497203,0.744142,2.664686,0.032982,19.063482,6.295077,64,27,180
F6->F7,5,1.421454,0.693869,2.504273,0.023212,17.183522,7.189535,62,21,180
F7->F8,6,1.320454,0.482208,2.716301,0.015507,15.154678,7.648227,45,18,180
F8->F9,7,1.119055,0.585366,2.270125,0.034041,23.265853,2.547788,52,15,180
F9->F10,8,1.155802,0.528925,2.172387,0.040288,15.805154,4.697267,41,20,180
F10->F11,9,0.717248,0.456282,0.872635,0.01868,7.99494,1.844783,40,8,180
F11->F12,10,0.65693,0.369517,0.754137,0.038639,4.719575,2.177071,36,11,180
F12->F13,11,0.648286,0.436749,0.819842,0.028076,8.282349,1.784374,32,5,180
F13->F14,12,1.112649,0.557233,2.718307,0.019351,22.027679,2.263712,43,13,180
F14->F15,13,1.172165,0.508679,2.582702,0.019476,17.628997,2.557885,43,15,180
F15->F16,14,0.848504,0.531594,1.664833,0.030504,17.763132,2.019146,38,9,180
F16->F17,15,0.906753,0.523885,2.092367,0.035599,18.799712,1.733026,33,9,180
F17->F18,16,0.849562,0.359349,2.238377,0.00916,23.251679,2.287865,25,11,180
F18->F19,17,1.0265,0.493188,2.379745,0.042831,18.93088,1.92682,43,8,180
F19->F20,18,1.107227,0.455945,2.305287,0.03792,18.212397,3.166206,43,17,180
F20->F21,19,0.970564,0.431463,2.326519,0.016306,23.740575,2.37337,39,13,180
F21->F22,20,0.95154,0.512729,1.674242,0.017674,17.363213,3.606207,41,18,180
F22->F23,21,0.916963,0.461857,2.086708,0.02119,22.436372,2.483467,37,13,180
F23->F24,22,0.945537,0.487426,1.980512,0.040031,21.43968,2.342908,45,12,180
F24->F25,23,1.115652,0.521149,2.018694,0.035474,15.621094,3.17155,54,20,180
F25->F26,24,1.153093,0.491336,2.458409,0.039463,19.017824,2.973228,47,18,180
F26->F27,25,0.676802,0.454128,0.734486,0.008401,7.29198,1.935203,38,7,180
F27->F28,26,0.950457,0.393486,2.291586,0.02217,18.111294,2.386957,29,11,180
F28->F29,27,0.785632,0.437132,1.321803,0.014689,12.151675,2.456454,37,13,180
F29->F30,28,0.728575,0.403988,1.26671,0.012621,15.059467,1.965711,42,9,180
F30->F31,29,0.706455,0.333283,1.455739,0.017603,15.204118,1.661856,37,3,180
F31->F32,30,0.650932,0.418029,1.009468,0.014706,12.2386,1.742639,34,5,180
F32->F33,31,0.781323,0.376386,1.509297,0.023003,14.983191,2.169536,36,11,180
F33->F34,32,0.819728,0.305945,2.002581,0.007936,19.976928,1.924974,35,9,180
F34->F35,33,0.636736,0.406669,0.999811,0.020982,11.835163,1.708452,30,5,180
F35->F36,34,0.50898,0.323361,0.582,0.038608,2.835204,1.976205,19,7,180
F36->F37,35,0.734575,0.34229,1.412431,0.022212,9.33335,2.22533,30,10,180
F37->F38,36,0.604861,0.295438,1.242247,0.009329,9.763021,1.795383,17,8,180
F38->F39,37,0.402192,0.288257,0.423628,0.015741,3.916231,1.047551,10,3,180
F39->F40,38,0.572339,0.321416,1.310258,0.024542,11.15463,1.2506,11,4,180
F40->F41,39,0.51276,0.343431,0.566158,0.030913,3.694984,1.65262,17,4,180
F41->F42,40,0.619244,0.289444,1.484631,0.004249,11.48453,1.489173,14,7,180
F42->F43,41,0.662745,0.287027,1.603069,0.028052,15.373529,2.036338,18,10,180
F43->F44,42,0.777035,0.354141,2.171176,0.02487,21.619408,1.639942,17,6,180
F44->F45,43,0.544319,0.247229,1.721892,0.014498,20.359298,1.639774,14,6,180
F45->F46,44,0.751205,0.415532,1.629085,0.025825,16.287911,1.79019,26,7,180
F46->F47,45,0.966997,0.563157,1.506245,0.078516,12.570787,2.595431,45,11,180
F47->F48,46,0.786667,0.608411,1.044248,0.019257,10.778248,1.565674,40,8,180
F48->F49,47,0.585635,0.309771,0.953566,0.019914,10.973153,1.460276,25,6,180
F49->F50,48,0.604522,0.397782,1.017344,0.039679,12.43833,1.61582,24,2,180
