frame_pair,frame_idx,node,node_x_px,node_y_px,gt_dx,gt_dy,pred_dx,pred_dy,error_px,mc_x,mc_y,mc_mag,mc_calibrated_px
F1->F2,0,0,409.9315,403.2275,-0.132816,-0.375533,-0.513623,0.082052,0.595313,0.219282,0.095158,0.239039,0.060131335356018584
F1->F2,0,1,418.3476,384.7786,-0.105391,-0.393748,-0.397601,-0.047473,0.453092,22.233673,13.343964,25.930631,6.522966832417186
F1->F2,0,2,425.5264,365.9869,-0.052923,-0.323861,0.058645,0.07042,0.409762,0.875558,1.111991,1.415318,0.3560296072750033
F1->F2,0,3,430.3619,346.5725,-0.003432,-0.257688,-0.233553,0.042637,0.378353,7.677359,7.725927,10.891822,2.739886802237547
F1->F2,0,4,432.6155,326.6716,0.045211,-0.208542,-0.028608,0.11835,0.335123,2.015824,0.529866,2.0843,0.5243150376405086
F1->F2,0,5,432.4001,306.5886,0.090497,-0.17292,-0.251946,-0.166835,0.342497,1.239508,1.035237,1.61496,0.40625045012134325
F1->F2,0,6,429.8391,286.6223,0.144326,-0.152892,-0.324317,-0.093956,0.472334,0.377196,0.302145,0.483289,0.12157352119476264
F1->F2,0,7,425.3237,266.8902,0.213768,-0.143164,-0.257347,-0.149335,0.471156,1.026582,1.936291,2.191596,0.5513058289271161
F1->F2,0,8,419.5385,247.3112,0.269835,-0.129436,-0.222337,-0.254661,0.507853,0.447365,0.30502,0.541454,0.1362051885000259
F1->F2,0,9,413.1808,227.7945,0.295828,-0.109721,0.136994,0.178944,0.329478,2.270407,1.69947,2.836009,0.7134108168612106
F1->F2,0,10,406.5966,208.3319,0.288813,-0.082306,-0.105483,-0.205337,0.413045,0.232938,0.37949,0.445278,0.11201168321762241
F1->F2,0,11,399.415,189.0833,0.26043,-0.05867,0.021423,-0.086254,0.240593,0.164101,0.284031,0.328028,0.08251691847005746
F1->F2,0,12,391.1776,170.229,0.224108,-0.029933,0.160046,-0.020128,0.064808,0.07744,0.049333,0.091819,0.023097482339928924
F1->F2,0,13,381.4029,152.1285,0.197387,0.007763,0.029184,-0.000618,0.168411,0.64679,0.463963,0.79599,0.20023486389265865
F1->F2,0,14,369.5294,135.7537,0.162998,0.044672,0.350137,0.120298,0.201842,1.537565,2.299204,2.765944,0.6957856510442542
F1->F2,0,15,354.9836,122.2068,0.117764,0.076802,0.169298,0.092811,0.053963,0.294854,0.09518,0.309836,0.07794063906461864
F1->F2,0,16,337.7215,112.4864,0.062076,0.102715,0.158704,0.089366,0.097546,0.327096,0.255196,0.41487,0.10436241407950766
F1->F2,0,17,318.7047,107.3955,0.006688,0.130699,0.075981,0.268768,0.154482,0.51089,0.269942,0.577822,0.145353722438955
F1->F2,0,18,299.0324,107.6239,-0.035739,0.137352,0.038057,0.004271,0.152173,0.070557,0.018437,0.072926,0.01834486323224667
F1->F2,0,19,280.0245,113.0694,-0.061612,0.131049,-0.099613,0.248449,0.123397,0.015476,0.47524,0.475492,0.11961215078336167
F1->F2,0,20,263.1088,123.2199,-0.066086,0.121012,-0.095634,0.131563,0.031376,0.320054,0.179951,0.367175,0.09236452235554082
F1->F2,0,21,249.3336,137.3627,-0.042683,0.113232,-0.184613,0.141188,0.144657,0.774928,0.324008,0.839937,0.21128992936269053
F1->F2,0,22,239.1261,154.4626,-0.004059,0.106063,0.155737,0.125296,0.160949,0.338941,0.078931,0.34801,0.08754348042473416
F1->F2,0,23,232.6757,173.4812,0.032323,0.0872,-0.051676,0.077882,0.084514,0.333282,0.003157,0.333297,0.08384235911359622
F1->F2,0,24,228.8919,193.5668,0.082669,0.068253,-0.035051,0.117704,0.127685,0.080175,0.001313,0.080186,0.020171148878876274
F1->F2,0,25,226.1689,213.9652,0.133574,0.048912,-0.041006,-0.00088,0.181542,0.1939,1.024666,1.042851,0.26233385852249774
F1->F2,0,26,223.7282,234.3101,0.179854,0.022252,0.353886,0.117726,0.1985,3.411041,3.389056,4.80842,1.2095796734113968
F1->F2,0,27,221.6138,254.62,0.199198,-0.017226,-0.037372,0.215979,0.33219,2.43465,3.052908,3.904839,0.9822798096555803
F1->F2,0,28,219.9001,274.9295,0.205691,-0.055453,0.148299,0.016324,0.0919,0.519903,1.112877,1.22833,0.30899193503092925
F1->F2,0,29,218.6193,295.2723,0.19619,-0.089151,0.421291,-0.138172,0.230377,0.908518,2.461202,2.623532,0.6599612720486873
F1->F2,0,30,217.8055,315.6657,0.175986,-0.116257,-0.075745,-0.071032,0.255761,0.258666,2.026809,2.043248,0.5139882224386576
F1->F2,0,31,217.6771,336.0092,0.14855,-0.142914,0.18156,-0.102823,0.051932,0.734906,0.96743,1.214911,0.3056163252386259
F1->F2,0,32,218.58,356.1368,0.093542,-0.164819,0.456715,-0.166922,0.363179,2.323371,5.247957,5.73926,1.443736661194965
F1->F2,0,33,221.4295,375.7161,0.053386,-0.18253,0.469918,-0.091992,0.426258,0.103194,0.098187,0.142442,0.03583192563047034
F1->F2,0,34,227.2689,394.3853,0.000552,-0.186188,0.16871,-0.080598,0.198561,0.493863,0.204711,0.53461,0.13448354952405714
F1->F2,0,35,235.0917,412.4423,-0.0342,-0.159199,2.02456,-0.031375,2.062724,1.005916,0.844222,1.313232,0.33034941491662445
F1->F2,0,36,416.1681,406.1487,-0.142232,-0.378689,-0.758606,-0.062476,0.692753,0.316582,0.052603,0.320923,0.0807296237704289
F1->F2,0,37,424.5625,387.4559,-0.122439,-0.381063,-1.009992,-0.085371,0.935513,1.546203,0.558688,1.644043,0.41356640955122326
F1->F2,0,38,431.8651,368.0277,-0.071392,-0.311228,0.104381,0.111582,0.457891,0.599484,1.341968,1.469782,0.3697302713876803
F1->F2,0,39,436.8139,347.7259,-0.013011,-0.24709,-2.022833,0.841564,2.285728,6.466621,15.280908,16.59287,4.17401106300152
F1->F2,0,40,439.1335,326.9965,0.054186,-0.190991,-0.268293,-0.076424,0.342226,5.726268,5.028755,7.620927,1.9170784564892618
F1->F2,0,41,439.0263,306.1229,0.098093,-0.156478,-0.082773,-0.118917,0.184725,1.06062,1.973541,2.240486,0.5636043282747362
F1->F2,0,42,436.8172,285.3406,0.14781,-0.134242,-0.133025,-0.155653,0.28165,7.462171,9.464708,12.052581,3.0318809483664917
F1->F2,0,43,432.967,264.8423,0.211711,-0.124578,-0.075401,-0.042087,0.298727,0.634361,0.259948,0.685556,0.17245469459515259
F1->F2,0,44,427.8835,244.6703,0.260268,-0.113371,0.278275,0.144062,0.258061,0.93249,0.333891,0.990465,0.24915592465413156
F1->F2,0,45,421.925,224.9114,0.27768,-0.094835,0.113025,0.186128,0.325655,4.267806,5.697771,7.118902,1.7907918102428115
F1->F2,0,46,415.301,205.2784,0.2669,-0.072145,-0.079094,-0.132848,0.351278,0.1586,0.029635,0.161345,0.0405870602831204
