frame_pair,frame_idx,node,node_x_px,node_y_px,gt_dx,gt_dy,pred_dx,pred_dy,error_px
F1->F2,0,0,409.9315,403.2275,-0.132816,-0.375533,-0.470663,-0.176167,0.392285
F1->F2,0,1,418.3476,384.7786,-0.105391,-0.393748,-0.263339,0.018368,0.441347
F1->F2,0,2,425.5264,365.9869,-0.052923,-0.323861,0.008377,0.030042,0.359172
F1->F2,0,3,430.3619,346.5725,-0.003432,-0.257688,-0.281612,0.000797,0.379735
F1->F2,0,4,432.6155,326.6716,0.045211,-0.208542,-0.063829,0.121063,0.347173
F1->F2,0,5,432.4001,306.5886,0.090497,-0.17292,-0.271976,-0.169936,0.362485
F1->F2,0,6,429.8391,286.6223,0.144326,-0.152892,-0.346333,-0.082147,0.495732
F1->F2,0,7,425.3237,266.8902,0.213768,-0.143164,-0.237582,-0.137024,0.451391
F1->F2,0,8,419.5385,247.3112,0.269835,-0.129436,-0.202218,-0.249602,0.487107
F1->F2,0,9,413.1808,227.7945,0.295828,-0.109721,0.114978,0.169143,0.332373
F1->F2,0,10,406.5966,208.3319,0.288813,-0.082306,-0.092155,-0.207598,0.401042
F1->F2,0,11,399.415,189.0833,0.26043,-0.05867,0.003248,-0.091772,0.259303
F1->F2,0,12,391.1776,170.229,0.224108,-0.029933,0.162629,-0.019852,0.0623
F1->F2,0,13,381.4029,152.1285,0.197387,0.007763,0.045337,0.005096,0.152074
F1->F2,0,14,369.5294,135.7537,0.162998,0.044672,0.322739,0.105066,0.170777
F1->F2,0,15,354.9836,122.2068,0.117764,0.076802,0.159866,0.071793,0.042398
F1->F2,0,16,337.7215,112.4864,0.062076,0.102715,0.155634,0.103839,0.093564
F1->F2,0,17,318.7047,107.3955,0.006688,0.130699,0.073852,0.273744,0.158028
F1->F2,0,18,299.0324,107.6239,-0.035739,0.137352,0.041985,0.033936,0.129367
F1->F2,0,19,280.0245,113.0694,-0.061612,0.131049,-0.086937,0.253667,0.125205
F1->F2,0,20,263.1088,123.2199,-0.066086,0.121012,-0.071008,0.114518,0.008149
F1->F2,0,21,249.3336,137.3627,-0.042683,0.113232,-0.12223,0.119685,0.079808
F1->F2,0,22,239.1261,154.4626,-0.004059,0.106063,0.144841,0.125423,0.150154
F1->F2,0,23,232.6757,173.4812,0.032323,0.0872,-0.043569,0.068569,0.078145
F1->F2,0,24,228.8919,193.5668,0.082669,0.068253,-0.018812,0.118453,0.113218
F1->F2,0,25,226.1689,213.9652,0.133574,0.048912,-0.058756,0.006809,0.196885
F1->F2,0,26,223.7282,234.3101,0.179854,0.022252,0.350933,0.113289,0.193794
F1->F2,0,27,221.6138,254.62,0.199198,-0.017226,-0.04881,0.241295,0.358248
