frame_pair,frame_idx,mean_error_px,median_error_px,std_error_px,min_error_px,max_error_px,p95_error_px,nodes_gt_1px,nodes_gt_2px,n_nodes
F1->F2,0,0.638947,0.245791,2.823269,0.008149,28.107751,0.931353,9,3,180
F2->F3,1,0.829426,0.415311,2.800858,0.025108,27.927311,1.516599,23,6,180
F3->F4,2,1.4661,0.574959,3.77193,0.073042,27.582601,3.990909,37,21,180
F4->F5,3,1.449206,0.649144,3.134878,0.01483,27.189256,3.843069,63,24,180
F5->F6,4,1.738773,0.737341,3.708909,0.023816,26.863246,6.574289,65,31,180
F6->F7,5,1.756212,0.738039,3.835971,0.01344,26.956371,7.483164,67,22,180
F7->F8,6,1.468493,0.479614,3.638315,0.005086,27.385067,7.457962,43,19,180
F8->F9,7,1.448079,0.63016,3.796297,0.030626,28.85084,3.218121,55,15,180
F9->F10,8,1.487239,0.52106,3.87071,0.043529,29.257616,6.04681,43,19,180
F10->F11,9,1.33916,0.493112,4.070998,0.017928,29.32548,2.231569,47,12,180
F11->F12,10,1.393663,0.359646,4.44003,0.03483,29.310763,3.117806,41,15,180
F12->F13,11,1.097796,0.444221,3.599347,0.034195,29.240335,1.951169,32,8,180
F13->F14,12,1.378612,0.554899,4.102808,0.016184,29.174464,2.245372,45,12,180
F14->F15,13,1.47394,0.517923,4.217768,0.024636,29.10599,2.706135,44,15,180
F15->F16,14,1.181084,0.525105,3.531958,0.042622,27.938122,2.444632,41,12,180
F16->F17,15,1.281327,0.534457,4.089824,0.039913,27.671856,2.12561,33,10,180
F17->F18,16,1.321778,0.358012,4.271771,0.010482,28.553788,3.040581,27,13,180
F18->F19,17,1.45766,0.513291,4.186498,0.029841,28.323067,3.265833,49,12,180
F19->F20,18,1.444112,0.490128,3.95813,0.053231,29.016682,3.762984,46,17,180
F20->F21,19,1.296217,0.431536,3.869883,0.003691,28.814334,2.851486,39,13,180
F21->F22,20,1.491168,0.516083,4.282281,0.046191,29.178471,4.251881,44,22,180
F22->F23,21,1.439115,0.460679,4.36351,0.034045,29.22535,2.804849,38,18,180
F23->F24,22,1.216076,0.510589,3.272707,0.031636,28.737635,3.013725,45,13,180
F24->F25,23,1.4342,0.509172,3.77195,0.017553,28.950857,3.801776,55,22,180
F25->F26,24,1.439752,0.498468,3.885807,0.041996,29.454333,4.125497,49,19,180
F26->F27,25,0.965468,0.468149,3.063214,0.039438,29.387785,1.871133,37,6,180
F27->F28,26,1.221608,0.414659,3.780193,0.038459,28.681317,3.577061,30,14,180
F28->F29,27,1.076195,0.461548,3.10963,0.020043,28.261892,2.69944,37,15,180
F29->F30,28,0.797698,0.418416,2.159381,0.028642,28.252603,1.931101,41,8,180
F30->F31,29,1.090488,0.36727,3.633924,0.024604,28.287268,1.737809,40,6,180
F31->F32,30,0.888652,0.418975,2.918588,0.024716,28.272803,1.747313,34,6,180
F32->F33,31,0.804903,0.368535,2.239619,0.015219,28.274388,2.100274,35,10,180
F33->F34,32,1.17001,0.315496,3.711647,0.012596,28.277505,2.530466,37,10,180
F34->F35,33,0.765346,0.395255,2.201405,0.027883,27.805104,1.735788,30,7,180
F35->F36,34,0.644131,0.325212,2.044969,0.010207,26.944982,1.973612,20,7,180
F36->F37,35,1.174408,0.353802,3.753669,0.021358,28.279106,3.152936,32,12,180
F37->F38,36,1.205547,0.328105,4.117516,0.030093,28.279766,3.423706,21,11,180
F38->F39,37,0.871769,0.2876,3.560466,0.012735,28.280747,1.203457,15,6,180
F39->F40,38,0.950131,0.316356,3.648649,0.015748,28.281554,1.306771,11,5,180
F40->F41,39,0.971946,0.367114,3.565408,0.042095,28.282808,1.863221,20,7,180
F41->F42,40,0.918397,0.286806,3.223305,0.010587,27.970659,1.876571,16,9,180
F42->F43,41,1.036441,0.292043,3.704813,0.021756,28.281107,2.698365,20,12,180
F43->F44,42,1.081556,0.349685,3.748592,0.016943,28.285539,1.681222,20,8,180
F44->F45,43,1.031046,0.24696,4.055379,0.009572,28.288442,1.94244,18,9,180
F45->F46,44,1.254125,0.432566,4.045136,0.017111,28.166239,2.978742,31,11,180
F46->F47,45,1.611889,0.593841,4.45537,0.073192,28.067005,4.071753,49,16,180
F47->F48,46,1.194481,0.639023,3.491505,0.013997,28.164489,2.369749,46,12,180
F48->F49,47,1.14222,0.334432,4.099795,0.012736,28.312446,2.119745,26,10,180
F49->F50,48,1.199346,0.400062,4.13489,0.047909,28.871377,1.875463,28,8,180
